C,Test_error,Train_error,kernel_h_p
14,92.85714286,96.5435978,6
14,93.13186813,96.46504321,7
14,93.13186813,97.01492537,8
14,93.40659341,97.56480754,9
14,93.40659341,98.03613511,10
14,93.95604396,98.2717989,11
14,94.23076923,98.50746269,12
14,94.78021978,98.66457188,13
14,95.05494505,99.13589945,14
14,95.32967033,99.37156324,15
14,94.78021978,99.52867243,16
14,95.32967033,99.60722702,17
14,95.87912088,99.60722702,18
14,95.87912088,99.9214454,19
14,95.87912088,99.9214454,20
15,78.2967033,81.93244305,1
15,93.40659341,95.75805185,2
15,93.68131868,97.17203456,3
15,93.95604396,97.32914375,4
15,93.13186813,97.17203456,5
15,92.85714286,96.5435978,6
15,93.13186813,96.46504321,7
15,93.13186813,97.01492537,8
15,93.40659341,97.56480754,9
15,93.40659341,98.03613511,10
15,93.95604396,98.2717989,11
15,94.23076923,98.50746269,12
15,94.78021978,98.66457188,13
15,95.05494505,99.13589945,14
15,95.32967033,99.37156324,15
15,94.78021978,99.52867243,16
15,95.05494505,99.60722702,17
15,95.87912088,99.60722702,18
15,95.87912088,99.9214454,19
15,95.87912088,99.9214454,20
16,78.2967033,81.85388845,1
16,93.40659341,95.75805185,2
16,93.68131868,97.17203456,3
16,93.68131868,97.32914375,4
16,93.13186813,97.17203456,5
16,92.85714286,96.5435978,6
16,93.13186813,96.46504321,7
16,93.13186813,97.01492537,8
16,93.40659341,97.56480754,9
16,93.40659341,98.03613511,10
16,93.95604396,98.2717989,11
16,94.23076923,98.50746269,12
16,94.78021978,98.66457188,13
16,95.05494505,99.13589945,14
16,95.32967033,99.37156324,15
16,94.78021978,99.52867243,16
16,95.05494505,99.60722702,17
16,95.87912088,99.60722702,18
16,95.87912088,99.9214454,19
16,95.87912088,99.9214454,20
17,78.2967033,81.85388845,1
17,93.40659341,95.75805185,2
17,93.68131868,97.17203456,3
17,93.68131868,97.32914375,4
17,93.13186813,97.17203456,5
17,92.85714286,96.5435978,6
17,93.13186813,96.46504321,7
17,93.13186813,97.01492537,8
17,93.40659341,97.56480754,9
17,93.68131868,98.03613511,10
17,93.95604396,98.2717989,11
17,94.50549451,98.50746269,12
17,94.78021978,98.66457188,13
17,95.05494505,99.13589945,14
17,95.32967033,99.37156324,15
17,94.78021978,99.52867243,16
17,95.05494505,99.60722702,17
17,95.87912088,99.60722702,18
17,95.87912088,99.9214454,19
17,95.87912088,99.9214454,20
18,78.2967033,81.85388845,1
18,93.40659341,95.75805185,2
18,93.68131868,97.17203456,3
18,93.68131868,97.25058916,4
18,93.13186813,97.17203456,5
18,92.85714286,96.5435978,6
18,93.13186813,96.46504321,7
18,93.13186813,97.01492537,8
18,93.40659341,97.56480754,9
18,93.68131868,98.03613511,10
18,93.95604396,98.2717989,11
18,94.50549451,98.50746269,12
18,94.78021978,98.66457188,13
18,95.05494505,99.13589945,14
18,95.32967033,99.37156324,15
18,94.78021978,99.52867243,16
18,95.05494505,99.60722702,17
18,95.87912088,99.60722702,18
18,95.87912088,99.9214454,19
18,95.87912088,99.9214454,20
19,78.2967033,81.93244305,1
19,93.40659341,95.75805185,2
19,93.68131868,97.17203456,3
19,93.68131868,97.17203456,4
19,93.13186813,97.17203456,5
19,92.85714286,96.5435978,6
19,93.13186813,96.46504321,7
19,93.13186813,97.01492537,8
19,93.40659341,97.56480754,9
19,93.68131868,98.03613511,10
19,93.95604396,98.2717989,11
19,94.50549451,98.50746269,12
19,94.78021978,98.66457188,13
19,95.05494505,99.13589945,14
19,95.32967033,99.37156324,15
19,94.78021978,99.52867243,16
19,95.05494505,99.60722702,17
19,95.87912088,99.60722702,18
19,95.87912088,99.9214454,19
19,95.87912088,99.9214454,20
20,78.2967033,81.93244305,1
20,93.40659341,95.75805185,2
20,93.68131868,97.17203456,3
20,93.68131868,97.09347997,4
20,93.13186813,97.17203456,5
20,92.85714286,96.5435978,6
20,93.13186813,96.46504321,7
20,93.13186813,97.01492537,8
20,93.40659341,97.56480754,9
20,93.68131868,98.03613511,10
20,93.95604396,98.2717989,11
20,94.23076923,98.50746269,12
20,94.78021978,98.66457188,13
20,95.05494505,99.13589945,14
20,95.32967033,99.37156324,15
20,94.78021978,99.52867243,16
20,95.05494505,99.60722702,17
20,95.87912088,99.60722702,18
20,95.87912088,99.9214454,19
20,95.87912088,99.9214454,20
21,96.15384615,99.9214454,21
21,96.97802198,100,22
21,96.97802198,100,23
21,96.97802198,100,24
21,96.97802198,100,25
21,96.97802198,100,26
21,96.97802198,100,27
21,96.97802198,100,28
21,96.97802198,100,29
21,96.97802198,100,30
21,97.25274725,100,31
21,96.97802198,100,32
21,96.97802198,100,33
21,96.97802198,100,34
21,96.97802198,100,35
21,96.97802198,100,36
21,96.97802198,100,37
21,96.97802198,100,38
21,96.97802198,100,39
21,96.97802198,100,40
22,96.15384615,99.9214454,21
22,96.97802198,100,22
22,96.97802198,100,23
22,96.97802198,100,24
22,96.97802198,100,25
22,96.97802198,100,26
22,96.97802198,100,27
22,96.97802198,100,28
22,96.97802198,100,29
22,96.97802198,100,30
22,97.25274725,100,31
22,96.97802198,100,32
22,96.97802198,100,33
22,96.97802198,100,34
22,96.97802198,100,35
22,96.97802198,100,36
22,96.97802198,100,37
22,96.97802198,100,38
22,96.97802198,100,39
22,96.97802198,100,40
23,96.15384615,99.9214454,21
23,96.97802198,100,22
23,96.97802198,100,23
23,96.97802198,100,24
23,96.97802198,100,25
23,96.97802198,100,26
23,96.97802198,100,27
23,96.97802198,100,28
23,96.97802198,100,29
23,96.97802198,100,30
23,97.25274725,100,31
23,96.97802198,100,32
23,96.97802198,100,33
23,96.97802198,100,34
23,96.97802198,100,35
23,96.97802198,100,36
23,96.97802198,100,37
23,96.97802198,100,38
23,96.97802198,100,39
23,96.97802198,100,40
24,96.15384615,99.9214454,21
24,96.97802198,100,22
24,96.97802198,100,23
24,96.97802198,100,24
24,96.97802198,100,25
24,96.97802198,100,26
24,96.97802198,100,27
24,96.97802198,100,28
24,96.97802198,100,29
24,96.97802198,100,30
24,97.25274725,100,31
24,96.97802198,100,32
24,96.97802198,100,33
24,96.97802198,100,34
24,96.97802198,100,35
24,96.97802198,100,36
24,96.97802198,100,37
24,96.97802198,100,38
24,96.97802198,100,39
24,96.97802198,100,40
25,96.15384615,99.9214454,21
25,96.97802198,100,22
25,96.97802198,100,23
25,96.97802198,100,24
25,96.97802198,100,25
25,96.97802198,100,26
25,96.97802198,100,27
25,96.97802198,100,28
25,96.97802198,100,29
25,96.97802198,100,30
